ID	genus	species	family	suborder	order	subclass	class	subphylum	phylum	infrakingdom	subkingdom	kingdom	LifeStage	Qualifier
1	Abylidae.indet	NA	NA	Abylidae	Calycophorae	Siphonophorae	Hydroidolina	Hydrozoa	Medusozoa	Cnidaria	NA	NA	Animalia	NA	indet
2	Acartia..Acartia..danae	Acartia	Acartia danae	Acartiidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
3	Acartia..Acartiura..tranteri	Acartia	Acartia tranteri	Acartiidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
4	Acartia..Odontacartia..pacifica	Acartia	Acartia pacifica	Acartiidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
5	Acartia.sp.	Acartia	NA	Acartiidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
6	Aetideus.australis	Aetideus	Aetideus australis	Aetideidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
7	Aetideus.sp.	Aetideus	NA	Aetideidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
8	Alciopidae.indet	NA	NA	Alciopidae	Phyllodociformia	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	indet
9	Amphipoda.indet	NA	NA	NA	NA	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
10	Appendicularia.indet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	Bivalvia.larvae	NA	NA	NA	NA	NA	NA	Bivalvia	NA	Mollusca	NA	NA	Animalia	larvae	NA
12	Brachyscelus.crusculum	Brachyscelus	Brachyscelus crusculum	Brachyscelidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
13	Branchiopoda.indet	NA	NA	NA	NA	NA	NA	Branchiopoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
14	Bryozoa.larvae	NA	NA	NA	NA	NA	NA	NA	NA	Bryozoa	NA	NA	Animalia	larvae	NA
15	Calanoida.indet..small.	NA	NA	NA	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	small.	indet
16	Calanoides.acutus	Calanoides	Calanoides acutus	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
17	Calanoides.brevicornis	Calanoides	Calanoides brevicornis	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
18	Calanoides.sp.	Calanoides	NA	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
19	Calanus.australis	Calanus	Calanus australis	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
20	Calanus.propinquus	Calanus	Calanus propinquus	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
21	Calanus.simillimus	Calanus	Calanus simillimus	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
22	Calanus.sp.	Calanus	NA	Calanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
23	Calocalanus.plumulosus	Calocalanus	Calocalanus plumulosus	Paracalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
24	Calocalanus.sp.	Calocalanus	NA	Paracalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
25	Calocalanus.styliremis	Calocalanus	Calocalanus styliremis	Paracalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
26	Candacia.bipinnata	Candacia	Candacia bipinnata	Candaciidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
27	Candacia.cheirura	Candacia	Candacia cheirura	Candaciidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
28	Candacia.falcifera	Candacia	Candacia falcifera	Candaciidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
29	Candacia.maxima	Candacia	Candacia maxima	Candaciidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
30	Candacia.sp.	Candacia	NA	Candaciidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
31	Centropages.aucklandicus	Centropages	Centropages aucklandicus	Centropagidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
32	Centropages.bradyi	Centropages	Centropages bradyi	Centropagidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
33	Centropages.furcatus	Centropages	Centropages furcatus	Centropagidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
34	Centropages.sp.	Centropages	NA	Centropagidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
35	Chaetognatha.indet	NA	NA	NA	NA	NA	NA	NA	NA	Chaetognatha	NA	NA	Animalia	NA	indet
36	Chelophyes.sp.	Chelophyes	NA	Diphyidae	Calycophorae	Siphonophorae	Hydroidolina	Hydrozoa	Medusozoa	Cnidaria	NA	NA	Animalia	NA	sp
37	Cirripedia.cyprid	NA	NA	NA	NA	NA	Cirripedia	Thecostraca	Crustacea	Arthropoda	NA	NA	Animalia	cyprid	NA
38	Cirripedia.nauplius	NA	NA	NA	NA	NA	Cirripedia	Thecostraca	Crustacea	Arthropoda	NA	NA	Animalia	nauplius	NA
39	Clausocalanus.arcuicornis	Clausocalanus	Clausocalanus arcuicornis	Clausocalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
40	Clausocalanus.brevipes	Clausocalanus	Clausocalanus brevipes	Clausocalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
41	Clausocalanus.ingens	Clausocalanus	Clausocalanus ingens	Clausocalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
42	Clausocalanus.laticeps	Clausocalanus	Clausocalanus laticeps	Clausocalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
43	Clausocalanus.pergens	Clausocalanus	Clausocalanus pergens	Clausocalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
44	Clausocalanus.sp.	Clausocalanus	NA	Clausocalanidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
45	Clio.pyramidata	Clio	Clio pyramidata	Cliidae	Euthecosomata	Pteropoda	Heterobranchia	Gastropoda	NA	Mollusca	NA	NA	Animalia	NA	NA
46	Clio.sp.	Clio	NA	Cliidae	Euthecosomata	Pteropoda	Heterobranchia	Gastropoda	NA	Mollusca	NA	NA	Animalia	NA	sp
